Temperature,Humidity,PM25,PM 10,Lat,Long
38.23,32.14,3.5,14.9,0,0
38.24,32.14,3.5,14.9,0,0
38.27,32.14,3.5,14.9,0,0
38.27,32.14,3.5,14.9,0,0
38.29,32.14,3.5,15.4,0,0
38.29,32.14,3.5,15.4,0,0
38.3,32.14,3.5,15.4,0,0
38.32,32.14,3.5,15.4,0,0
38.33,32.14,3.5,15.4,0,0
38.34,32.04,3.6,16.6,0,0
38.36,32.04,3.6,16.6,0,0
38.36,32.04,3.6,16.6,0,0
38.39,32.04,3.6,16.6,0,0
38.41,32.04,3.5,17.1,0,0
38.41,32.04,3.5,17.1,0,0
38.42,32.04,3.5,17.1,0,0
38.44,32.04,3.5,17.1,0,0
38.44,32.04,3.6,17.7,0,0
38.45,32.04,3.6,17.7,0,0
38.46,32.04,3.6,17.7,0,0
38.49,32.04,3.6,17.7,0,0
38.48,31.93,3.6,18.2,0,0
38.51,31.93,3.6,18.2,0,0
38.52,31.93,3.6,18.2,0,0
38.53,31.93,3.6,18.2,0,0
38.53,31.93,3.6,17.7,0,0
38.55,31.93,3.6,17.7,0,0
38.57,31.93,3.6,17.7,0,0
38.57,31.93,3.6,17.7,0,0
38.58,31.93,3.6,17.7,0,0
38.61,31.93,3.4,17.6,0,0
38.63,31.93,3.4,17.6,0,0
38.63,31.93,3.4,17.6,0,0
38.64,31.83,3.4,17.6,0,0
38.66,31.83,3.3,17.2,0,0
38.66,31.83,3.3,17.2,0,0
38.67,31.83,3.3,17.2,0,0
38.68,31.83,3.3,17.2,0,0
38.7,31.83,3.3,16.6,0,0
38.71,31.83,3.3,16.6,0,0
38.73,31.81,3.3,16.6,0,0
38.75,31.81,3.3,16.6,0,0
38.75,31.81,3.4,17.1,0,0
38.76,31.81,3.4,17.1,0,0
38.76,31.81,3.4,17.1,0,0
38.79,31.81,3.4,17.1,0,0
38.8,31.81,3.4,17.5,0,0
38.8,31.71,3.4,17.5,0,0
38.82,31.71,3.4,17.5,0,0
38.83,31.71,3.4,17.5,0,0
38.85,31.71,3.4,17.5,0,0
38.85,31.71,3.3,16.8,0,0
38.86,31.71,3.3,16.8,0,0
38.87,31.71,3.3,16.8,0,0
38.89,31.71,3.3,16.8,0,0
38.89,31.62,3.3,17.9,0,0
38.92,31.62,3.3,17.9,0,0
38.92,31.62,3.3,17.9,0,0
38.95,31.62,3.3,17.9,0,0
38.96,31.62,3.4,17.8,0,0
38.98,31.62,3.4,17.8,0,0
39.01,31.62,3.4,17.8,0,0
39.01,31.6,3.4,17.8,0,0
39.02,31.51,3.4,17.8,0,0
39.02,31.51,3.4,17.8,0,0
39.02,31.51,3.4,17.8,0,0
39.05,31.51,3.4,17.8,0,0
39.05,31.51,3.4,18.1,0,0
39.06,31.51,3.4,18.1,0,0
39.08,31.51,3.4,18.1,0,0
39.09,31.51,3.4,18.1,0,0
39.09,31.41,3.4,18.1,0,0
39.1,31.41,3.4,18.1,0,0
39.13,31.41,3.4,18.1,0,0
39.14,31.41,3.4,18.1,0,0
39.15,31.41,3.4,18.1,0,0
39.15,31.41,3.5,18.3,0,0
39.17,31.41,3.5,18.3,0,0
39.18,31.31,3.5,18.3,0,0
39.2,31.31,3.5,18.3,0,0
39.21,31.31,3.6,18.1,0,0
39.21,31.31,3.6,18.1,0,0
39.22,31.31,3.6,18.1,0,0
39.24,31.2,3.6,18.1,0,0
39.24,31.2,3.6,18.2,0,0
39.25,31.2,3.6,18.2,0,0
39.28,31.2,3.6,18.2,0,0
39.28,31.2,3.6,18.2,0,0
39.3,31.2,3.6,18.5,0,0
39.3,31.2,3.6,18.5,0,0
39.33,31.2,3.6,18.5,0,0
39.33,31.1,3.6,18.5,0,0
39.35,31.1,3.6,18.5,0,0
39.36,31.1,3.6,18.8,0,0
39.36,31.1,3.6,18.8,0,0
39.37,31.1,3.6,18.8,0,0
39.39,31.01,3.6,18.8,0,0
39.4,31.01,3.6,19.5,0,0
39.4,31.01,3.6,19.5,0,0
39.42,31.01,3.6,19.5,0,0
39.43,31.01,3.6,19.5,0,0
39.44,31.01,3.5,19.5,0,0
39.46,31.01,3.5,19.5,0,0
39.44,30.91,3.5,19.5,0,0
39.47,30.91,3.5,19.5,0,0
39.49,30.91,3.5,19.5,0,0
39.49,30.9,3.5,19.5,0,0
39.52,30.9,3.5,19.5,0,0
39.52,30.9,3.5,19.5,0,0
39.52,30.8,3.4,18.9,0,0
39.54,30.8,3.4,18.9,0,0
39.55,30.8,3.4,18.9,0,0
39.56,30.8,3.4,18.9,0,0
39.58,30.8,3.4,18.9,0,0
39.58,30.8,3.4,18.3,0,0
39.59,30.8,3.4,18.3,0,0
39.62,30.7,3.4,18.3,0,0
39.62,30.7,3.4,18.3,0,0
39.62,30.7,3.4,17.7,0,0
39.64,30.7,3.4,17.7,0,0
39.67,30.61,3.5,17.6,0,0
39.69,30.61,3.5,17.6,0,0
39.7,30.61,3.5,17.6,0,0
39.71,30.61,3.5,17.6,0,0
39.73,30.51,3.5,17.2,0,0
39.73,30.51,3.5,17.2,0,0
39.76,30.51,3.5,17.2,0,0
39.77,30.49,3.5,17.2,0,0
39.77,30.49,3.6,17.3,0,0
39.78,30.4,3.6,17.3,0,0
39.78,30.4,3.6,17.3,0,0
39.78,30.4,3.6,17.3,0,0
39.81,30.4,3.6,16.1,0,0
39.83,30.4,3.6,16.1,0,0
39.81,30.4,3.6,16.1,0,0
39.84,30.3,3.6,16.1,0,0
39.86,30.3,3.6,15.2,0,0
39.86,30.3,3.6,15.2,0,0
39.88,30.3,3.6,15.2,0,0
39.88,30.3,3.6,15.2,0,0
39.9,30.21,3.5,14.8,0,0
39.9,30.21,3.5,14.8,0,0
39.92,30.21,3.5,14.8,0,0
39.93,30.21,3.5,14.8,0,0
39.93,30.21,3.5,14.8,0,0
39.95,30.21,3.5,14.3,0,0
39.96,30.11,3.5,14.3,0,0
39.96,30.11,3.5,14.3,0,0
39.98,30.11,3.5,14.3,0,0
39.99,30.11,3.6,14.7,0,0
40,30,3.6,14.7,0,0
40,30,3.6,14.7,0,0
40.04,30,3.6,14.7,0,0
40.02,30,3.6,15,0,0
40.04,30,3.6,15,0,0
40.05,30,3.6,15,0,0
40.07,30,3.6,15,0,0
